Salario,Empresa,Comuna,Región,Cargo,Descripción
477000,SOS GROUP CAPITAL HUMANO,Quilicura,Metropolitana,Electromecánico Turno Mañana y Noche - Quilicura,"Importante empresa ubicada en la comuna de Quilicura requiere contratar mecánico eléctrico.     Funciones: Mantener las máquinas e instalaciones en óptimas condiciones operativas, tanto eléctrica como mecánicamente, diagnosticar, reparar y/o reemplazar los componentes defectuosos de maquinarias e instalaciones, ya sean eléctricos o mecánicos, respetando las normas de seguridad, calidad e inocuidad y medio ambiente asociado al proceso productivo.	  Requisitos: Técnico nivel superior o ingeniero en el área. Experiencia en cargo similar. Conocimiento de neumática. Conocimiento de hidráulica. Manejo Microsoft Office nivel intermedio. Software de mantenimiento MP.  Se ofrece: Horario Rotativo  Lunes a viernes de 07:00 a 17:00 y sábado de 07:00 a 14:00 horas Lunes a miércoles de 22:00 a 07:30 am, Jueves y viernes de 22:00 a 07:00 am  Renta: $900.000 Líquidos.  Se realiza previa entrevista. -Requerimientos- Educación mínima: Educación básica Menos de 1 año de experiencia Edad: entre 18 y 55 años Palabras clave: night, nighttime, nocturno"
NaN,Act S.A.,Providencia,Metropolitana,Especialista de Calidad,"Empresa del rubro tecnológico y de telecomunicaciones busca un/a Especialista en Temas de Calidad con formación en Ingeniería Industrial, Ingeniería en Calidad, Ingeniería de Procesos, Ingeniería en Gestión o carrera afín, para un importante proyecto minero. El/la profesional será responsable de garantizar el cumplimiento de normativas y procedimientos de calidad, implementando estrategias de mejora continua y optimización de procesos en proyectos mineros. Principales funciones: • Gestionar sistemas de calidad conforme a normativas como ISO 9001 y Lean Six Sigma. • Aplicar metodologías de mejora continua (Lean, Six Sigma, Kaizen) para optimizar procesos. • Elaborar y actualizar normativas, procedimientos e instructivos de trabajo en el ámbito de calidad. • Analizar y gestionar la calidad a través de herramientas como diagramas de flujo, diagramas causa-efecto y análisis FMEA (Failure Mode and Effects Analysis). • Administrar software de gestión de calidad y plataformas colaborativas como SharePoint y SAP. Requisitos: • Título en Ingeniería Industrial, Ingeniería en Calidad, Ingeniería de Procesos, Ingeniería en Gestión o carrera afín. • Experiencia de 6 años en la industria minera.  • Experiencia específica de al menos, 5 años en gestión de calidad en entornos mineros o industriales. • Deseable certificación en sistemas de gestión de calidad (ISO 9001, Lean Six Sigma u otras normativas). • Conocimientos sólidos en metodologías de mejora continua. ¿Qué ofrecemos? • Contrato plazo fijo 3 meses con extensión a indefinido hasta 45 meses. • Modalidad: Hibrida en divisiones Codelco Casa Matriz, Oficina Contratista y/o Teletrabajo. • Jornada: 5x2, 44 horas semanales según legislación vigente. • Beneficios Corporativos. -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 5 años de experiencia Palabras clave: specialist, especialista, quality, qa"
NaN,XinerLink,Antofagasta,Antofagasta,Analista Estadístico $1.100.000 liquido - Antofagasta,"Importante empresa dedicada al rubro de las maquinarias pesadas se encuentra en búsqueda de una o un Estadístico por proyecto de seis meses en sucursal de Antofagasta.      FUNCIONES -Obtener, verificar y registrar los horómetros diarios de equipos. -Gestionar de forma diaria el historial de detenciones y verificar que las detenciones cumplan con lo mínimo requerido. -Ordenar, unificar, clasificar y registrar el historial de detenciones en el sistema de gestión de activos (AMT). -Cuadrar detención de equipos, con la información del cliente, en base a conciliación compartida por cada faena. -Gestionar la corrección de los errores o desviaciones detectadas durante el proceso. -Control semanal y mensual de KPIs asignados a ingreso de información a sistemas, etc.   SE OFRECE -Beneficios: Alimentación  -Renta Líquida: $1.100.000.- -Contrato por empresa externa, renovación mensual -Horario: L a J de 8:00 a 17:00 y V de 8:00 a 15:00 hrs con 45 minutos colación   REQUISITOS -Nivel de estudios: Universitario/ técnico superior en Administración, estadístico o a fin -Experiencia: 2 años en el rubro con experiencia en ingreso de datos a sistemas y plataformas de gestión de información ENFOQUE en Estadístico digitador, optimización de procesos. -Herramientas Informáticas: Herramientas computaciónales Intermedio/ Microsoft Office --Intermedio/ Analisis de Big Data Intermedio/ Manejo AMT Intermedio. -Habilidades Blandas: Comunicativo, debido a que da reportes a gerencias y jefaturas de Faenas. -Requerimientos- Educación mínima: Magister o Postgrado 2 años de experiencia Palabras clave: analyst"
NaN,Progestion Chile,Antofagasta,Antofagasta,Ayudantes de Obras Civiles/ Paletero/Antofagasta/Calama/Turno14x14/700.000liQ - paletero en carreta,"Empresa de movimiento de tierra se encuentra en búsqueda de ayudantes de OOCC para desempeñarse como paleteros en turno 14x14. Sus principales funciones serán el apoyo en ruta en la señalización vehicular y traslado de materiales. Además, garantizar el cumplimiento de las normas de seguridad y procedimientos establecidos. Turno: 14x14 Ubicación: Calama Sueldo líquido: 700.000 LIQ  Proyecto: 3 años Requisitos:  Enseñanza media completa  Salud compatible con las condiciones de trabajo en faena (se realizan exámenes) Residencia en la zona de Calama o Antofagasta Experiencia en minería desde 2 años ¡Te esperamos!.   -Requerimientos- Educación mínima: Educación básica  años de experiencia "
2000000,Team-Work,Osorno,Los Lagos,Ingeniero/a Planificador de Mantenimiento Eléctrico Osorno," Propósito del Cargo:  Diseñar y analizar planes de mantenimiento preventivo en SSEE   Controlar avances físicos y monetarios del área de mantenimiento   Asegurar la implementación y revisión de fallas   Generar planes de acción adicionales para optimizar la continuidad del servicio   Funciones Principales:  Planificar y controlar la ejecución del mantenimiento preventivo   Proponer presupuestos anuales de gastos del área   Reducir fallas en el sistema de Transmisión y mejorar indicadores de continuidad   Asegurar los recursos necesarios para la ejecución del mantenimiento   Auditar técnicamente los planes de mantenimiento   Facilitar la implementación y certificación de la norma ISO 55001   Requisitos:  Formación: Ingeniero Civil Eléctrico / Ingeniero de Ejecución Electricista o afín   Experiencia: 3 años en cargos similares   Conocimientos en: Gestión de Activos (ISO 55001)  SAP PM, Synchroteam, DGA Software  Política y Plan Estratégico de Gestión de Activos   Si cumples con los requisitos y quieres un nuevo desafío, postula ahora!  Trabajo Ingeniería Mantenimiento Energía Transmisión ISO55001 .   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 3 años de experiencia Palabras clave: engineers, ingeniera, ing, engineer, planner, planificador, proyectista, maintenance, conservacion, conservation, mantenimiento, electrician, lineman, electricista"
NaN,PSINet.,Huechuraba,Metropolitana,Desarrollador Fullstack - 5x2 Oficina,"Importante empresa con presencia nacional, requiere contratar a Desarrollador Fullstack, bajo turnos 5x2.  Se requiere profesional Ingeniero en Ejecución o Civil o en Informática o Computación, Técnico(a) en informática o carrera afín.    - Más de 4 años de experiencia en el desarrollo de sistemas web. - Más de 3 años de experiencia en el stack de desarrollo que utiliza la Corporación: NestJS (Node.js) para el backend + NextJS (ReactJS) para el frontend. - (Deseable) Certificaciones en desarrollo Javascript y/o en Node.js, NestJS, ReactJS, NextJS.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 4 años de experiencia Palabras clave: developer, programador, office, oficina"
NaN,Progestion Chile,Puente Alto,Metropolitana,Mercaderista Full Time / Lunes a Sábado / Ruta: La Pintana y Puente Alto,"Importante marca de artículos de limpieza se encuentra en búsqueda de reponedores/mercaderistas para realizar cobertura en la comuna de La Pintana y Puente Alto.  Funciones:  La principal función será realizar los ajustes en las salas asignadas. Mantener stock de productos y presentación de acuerdo a stock. Reponer productos en la sección asignada. Mantener el orden y limpieza de las góndolas. Actualizar los flejes  Requisitos:  Experiencia en reposición de supermercados y farmacias. Experiencia en ruta. Habilidades de comunicación escrita y habilidades numéricas, para contar y registrar los niveles de stock. Ser metódico y cuidadoso. Un comportamiento agradable, servicial, ya que por lo general el trabajo incluye tareas de servicio de atención al cliente. Buen ojo para la disposición espacial de los productos.  Horario: LUN - MAR - MIE - JUE - VIE 07:30 a 15:30 SAB: DE 07:30   a   14:30  Sueldo liquido estimado mensual de $570.000  ¡¡¡ Postula con nosotros !!!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 22 y 55 años Palabras clave: comerciante, merchandiser, merchant"
NaN,Progestion Chile,Las condes,Metropolitana,Promotores para marca deportiva / Jornada Parcial Las Condes / Reemplazo hasta el 18 de marzo,"Importante marca de ropa y calzado, busca los mejores promotores en grandes tiendas para la comuna de Las Condes.  Jornada: Lun a Dom de 11:00 a 19.00 hrs (3 días libres )  Centro comercial: Parque Arauco  Funciones Velar por la correcta exposición del producto en las tiendas asignadas. Impulsar las ventas de la marca. Captar nuevos clientes y asesorarlos para conseguir una venta en forma óptima. Reportar los indicadores solicitados por su jefatura directa. Verificar el inventario del producto. Mantener stock de productos y presentación de acuerdo. Reponer productos en la sección asignada. Mantener el orden y limpieza de la sección asignada. Establecer buenas relaciones con Supervisor Directo, Jefes de área, vendedores y personal de la tienda en general. Solicita al supervisor material POP (catálogos, stickers, etc.). Entre otras funciones inherentes al cargo.  Requisitos: Experiencia en promociones en tiendas de retail. Tener disponibilidad para trabajar en Las Condes. Habilidades de comunicación escrita y habilidades numéricas, para contar y registrar los niveles de stock. Ser metódico y cuidadoso. Un comportamiento agradable, servicial, ya que el trabajo incluye tareas de servicio de atención al cliente. Buen ojo para la disposición espacial de los productos. Habilidades de negociación. Capacidad de persuasión. Iniciativa. Orientación al logro de resultados.  Postula con nosotros!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 2 años de experiencia Edad: entre 25 y 40 años Palabras clave: brand, trademark"
NaN,Atcom,Valparaíso,Valparaíso,Auxiliar de Producción - Valparaíso,"Importante empresa del rubro productivo se encuentra en búsqueda de un Auxiliar de Producción para desempeñarse en Valparaíso.  Principales responsabilidades:  Descarga y carga en máquina de corte. Seguir instrucciones del jefe de máquina. Abastecer pallets y cajas. Enresmado y packing de materiales en hojas. Pegado de etiquetas de identificación en materiales. Requisitos:  Experiencia en plantas productivas (excluyente). Al menos 1 año de experiencia en el cargo (excluyente). Experiencia en trabajo por turnos (ideal). Educación: Cuarto Medio Completo.  Condiciones:  Renta: $520.000 líquidos + pago de horas extras. Tipo de jornada: Completa. Modalidad: Presencial. Horario: Lunes a sábado en turnos rotativos: Mañana: 07:00 a 15:00 hrs. Tarde: 15:00 a 23:00 hrs. Noche: 23:00 a 07:00 hrs. Beneficios:  Bus de acercamiento. Botas de trabajo proporcionadas. Si cumples con los requisitos y buscas un nuevo desafío laboral, no dudes en postular.-Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 25 y 55 años Palabras clave: ayudante, asistente, auxiliar, aux, auxiliary, assistant, helper, aide, production, produce, fabricacion, manufactoring, elaboracion, making, manufactura, produccion"
NaN,Progestion Chile,La Florida,Metropolitana,Reponedores con o sin experiencia/ Campaña días 1 y 2 de marzo / Local zona sur oriente de Santiago,"Importante empresa de perfumería, aseo y limpieza necesita reponedores para participar de campaña los días 1 y 2 de marzo, en la zona sur oriente de Santiago para las comunas de La Florida, Puente Alto, Macul, Peñalolén, San Joaquín. Jornada Laboral : SAB Y DOM de 08:00 a 16:00 hrs  Renta : $21.000 Líquidos aproximadamente por día.  Funciones: Ordenar, Reponer y ordenar stock de productos  Requisitos: Contar con experiencia en reposición ruta en supermercados. Contar con disponibilidad inmediata para trabajar  ¡¡ Postula con nosotros !!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 20 y 50 años Palabras clave: area"
NaN,Progestion Chile,Las condes,Metropolitana,Auxiliar de Farmacia  Las Condes,"¡Buscamos Auxiliar de Farmacia para unirse a nuestro equipo!  En Grupo Progestion estamos comprometidos con entregar un servicio de calidad a nuestros clientes, y buscamos a un/a Auxiliar de Farmacia que comparta nuestra pasión por la excelencia. Principales responsabilidades Venta y despacho de todos los productos comercializados en la farmacia, asegurando el cumplimiento de los protocolos de atención. Brindar una atención al cliente de alta calidad, adaptándose a sus necesidades. Derivar consultas farmacológicas, devoluciones o cambios de productos al Químico Farmacéutico de turno. Despacho seguro de medicamentos cumpliendo con las normativas vigentes. Ejercer funciones de cajero/a: recepción, custodia y recaudación de pagos, manteniendo la caja cuadrada conforme a las políticas de la empresa. Realizar tareas de empaque, control, inventario y despacho de productos, tanto en el local como en ecommerce. Asesorar a clientes en productos de belleza, cuidado personal y productos naturales Requisitos: Formación académica: Enseñanza media completa, título de Técnico en Farmacia o Técnico en Química y Farmacia. Documentación: Carné de Auxiliar de Farmacia al día. Experiencia: Al menos 1 año de experiencia laboral, deseable en el área de farmacia. Disponibilidad: Turnos rotativos 6x1 de lunes a domingo. Renta: Acorde al mercado.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Palabras clave: ayudante, asistente, auxiliar, aux, auxiliary, assistant, helper, aide, botica, apoteca, pharmacy, farmacia"
1300000,Atcom,Calama,Antofagasta,Supervisor Planta de Riles - Calama,"Importante empresa del área de tratamiento de residuos se encuentra a la búsqueda de un Supervisor para su Planta de Riles ubicada en la comuna de Calama.  Objetivo del cargo: Coordinar y supervisar las actividades necesarias para el adecuado funcionamiento de la planta de tratamiento de Riles, brindando un servicio orientado a la satisfacción de los requerimientos del cliente.  Requisitos EXCLUYENTES:  - Ingeniero químico, ambiental, en bioprocesos. - Al menos 1 año de experiencia en tratamiento de aguas servidas y agua potable. - Residencia en Calama o alrededores.  Funciones principales: - Supervisar y coordinar las actividades de la planta de tratamiento de riles. - Controlar el adecuado funcionamiento de las plantas de tratamiento de riles. - Optimizar la relación entre los clientes, proveedores y autoridades ambientales. - Contribuir al cumplimiento de las normas de seguridad y de procedimientos de trabajo seguro en actividades normadas.  Condiciones laborales: -Modalidad: Presencial -Horario: según el artículo 22. -Renta: $1.300.000     .   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 1 año de experiencia Edad: A partir de 31 años Palabras clave: residente, encargado, supervisor, subgerente, responsable, coordinador, gestor, capitan, piso, vivienda, inmobiliario, inmueble, condominio, edificio, planta, floor"
