Oferta;Salario;Beneficios;Empresa;Descripcion;Ubicacion;Fecha_Publicacion;Fecha_Expiracion
"TÉCNICO INFORMÁTICO O SIMILAR (TALCAHUANO)";"None";"-Cuidamos sus pertenencias y ofrecen un lugar para estacionar bicicletas.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Conmetal";"Empresa líder en Diseño y Fabricación de Equipos Industriales, se encuentra en búsqueda de técnico informático o similar para sus instalaciones en Talcahuano con disponibilidad inmediata.

Funciones:
-Mantenimiento de equipos computacionales e impresoras
-Mantenimiento y administración de software
-Encargarse de sistema de seguridad
-Instalación de equipos computaciones
-Mantener contacto con proveedores de servicios

Requisitos:
- Técnico en computación o conectividad y redes o similar
-1 año de experiencia en funciones similares
-Nivel avanzado Excel

Otros:

- Tipo de contrato: A plazo fijo con proyección a indefinido .
-Horario: De lunes a miércoles de 07:30 a 17:15 . Jueves y viernes 07:30 a 16:15
-Lugar de trabajo: Región del Biobío";"Concepción";"2025-03-21 04:57:03";"2025-06-04 (en 72 días)"
"PROGRAMADOR JAVA - ANDROID - CONTRATO INDEFINIDO";"None";"";"Perceptual Consultores Ltda.";"Estamos en búsqueda de profesional, Desarrollador Mobile, para cliente empresa de Servicios TI.

Objetivo del cargo:

Desarrollar herramientas en App propias de la empresa.



Condiciones:

Modalidad: Presencial

Lugar: Santiago Centro

Horario: Lunes a Viernes, de 9:00 a 18:00 hrs.

Tipo de contrato: 3 meses plazo fijo, luego indefinido.

RENTA: CONVERSABLE.";"Santiago";"2025-03-21 08:56:43";"2025-06-04 (en 72 días)"
"PRÁCTICA LABORAL PARA DESARROLLADORES PROGRAMADORES E INFORMÁTICOS";"A convenir";"-Ten libertad para hacer tus trámites, el horario de entrada y salida es flexible.
-Utiliza lo que desees, sin dresscode.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
";"Reevolutiva";"Somos una organización enfocada en la innovación educativa, combinando metodologías pedagógicas con tecnologías de vanguardia para transformar la experiencia de aprendizaje. Buscamos incorporar a nuestro equipo a una persona con proyección de permanencia y deseos de crecer profesionalmente en un entorno dinámico y colaborativo.

Posibles Responsabilidades Principales:

- Participar en el desarrollo de proyectos de software e integraciones tecnológicas.
- Investigar y proponer mejoras en procesos de implementación y despliegue continuo (CI/CD) dentro de GitHub.
- Colaborar en el diseño y mantenimiento de aplicaciones, incluyendo front-end, back-end y servicios en la nube (Azure).
- Explorar e integrar herramientas de machine learning y ciencia de datos a nuestros proyectos educativos.
Documentar las soluciones y resultados obtenidos, fomentando la mejora continua.

Conocimientos Necesarios:
VSCode: Fluidez en la edición y debugging de proyectos.


Conocimientos Deseables (No Excluyentes):
GitHub y GitHub Copilot: Manejo de repositorios y colaboración en equipo, uso de asistentes de IA.
CI/CD en GitHub: Configuración de flujos de integración y entrega continua.
Python: Desarrollo de scripts, automatizaciones y/o aplicaciones.
JavaScript / TypeScript y herramientas de diseño Front-End: Creación de interfaces interactivas y escalables.
MCP y manejo de contexto: Experiencia o interés en metodologías de control y gestión de proyectos o de microservicios en entornos complejos.
Ciencia de Datos y Machine Learning: Competencia en bibliotecas como Pandas, NumPy, scikit-learn, PyTorch, TensorFlow, o herramientas equivalentes.
Azure y Microsoft en General: Implementación de soluciones en la nube, servicios de identidad y pipelines de despliegue.

Lo que Buscamos en Ti:

Pasión y motivación por el desarrollo de software y la adopción de nuevas tecnologías.
Capacidad de autoaprendizaje, con interés en profundizar en metodologías y herramientas emergentes.
Comunicación efectiva y trabajo en equipo.
Enfoque en la mejora continua, la experimentación y la curiosidad tecnológica.

Qué Ofrecemos:

Oportunidad de crecer profesionalmente en un entorno que valora la innovación y la creatividad.
Participar en proyectos de alto impacto para la educación del futuro.
Posibilidad de integrarte de manera permanente al equipo según tu desempeño.
Ambiente de colaboración y aprendizaje constante, con exposición a las tendencias más actuales del mercado EdTech.

Responde las preguntas y te contactaremos.

Equipo Reevolutiva.";"Santiago";"2025-03-21 12:59:27";"2025-06-04 (en 72 días)"
"ANALISTA DE DATOS BI";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"BC Tecnologia";"Serás responsable de extraer, transformar y analizar datos para desarrollar reportes estratégicos y dashboards en Power BI, optimizando procesos con SQL y Python (PySpark). Trabajarás con equipos de negocio para brindar insights y apoyar la toma de decisiones basada en datos.

Responsabilidades principales:
Extraer y procesar datos desde diversas fuentes mediante SQL y Python (PySpark). Diseñar y optimizar modelos de datos en Power BI para reportes avanzados.
Implementar y mejorar flujos ETL para la integración de datos.
Colaborar con áreas de negocio para entender necesidades analíticas y generar soluciones BI.
Asegurar la calidad y disponibilidad de los datos en los reportes.

Requisitos:
SQL Avanzado – Creación, optimización y modelado de datos.
Python (PySpark) – Procesamiento y transformación de datos en entornos Big Data.
Power BI (Nivel medio-alto) – Creación de reportes y dashboards interactivos.
Databricks (Deseable) – Experiencia en plataformas de datos en la nube.
Experiencia mínima de 3 años en roles de BI, Data Analytics o similares.
Habilidades de comunicación y trabajo en equipo para traducir necesidades de negocio en soluciones BI.";"Santiago";"2025-03-21 10:41:22";"2025-06-04 (en 72 días)"
"LIDER DE SOPORTE";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Holding Degasa";"¿Estas buscando un nuevo desafío? ¡Súmate al equipo!

Nos encontramos buscando un nuevo LIDER DE SOPORTE, para nuestro Holding

FUNCIONES
1. Supervisión del equipo: Coordinar las actividades diarias del equipo de soporte técnico
2. Gestión de incidencias: Monitorear y gestionar el sistema de tickets de soporte
3. Mejora continua: Analizar métricas de rendimiento y satisfacción del usuario para identificar áreas de mejora
4. Comunicación: Punto de contacto entre el equipo de soporte y otros departamentos

Nuestro candidato ideal:
.- Titulo en tecnología de la información, sistemas o campo relacionado.
.- Experiencia previa en soporte técnico
.- Experiencia de al menos 2 años
.- Disponibilidad de trasladarse entre los puntos de ventas del Holding para prestar soporte técnico.";"Santiago";"2025-03-21 11:38:21";"2025-06-04 (en 72 días)"
"ANALISTA DE DATOS (PROYECTO 6-7 MESES)";"A convenir";"-La empresa paga o copaga una cobertura de salud adicional.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-Paga o copaga un seguro dental.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Kibernum";"¡Estamos buscando un Analista de Datos para un desafiante proyecto en una importante empresa!

Si eres apasionado por los datos y tienes experiencia en herramientas de visualización y procesamiento, esta oportunidad es para ti.

Lo que harás:
- Diseñar y desarrollar dashboards en Power BI.
- Consultar y gestionar bases de datos con Queries.
- Construir flujos de datos y analizar requerimientos para nuevos dashboards.
- Implementar y optimizar soluciones en Data Bricks en Microsoft Fabric y Azure.
- Brindar soporte y mejoras a los dashboards existentes.

Lo que buscamos:
- Experiencia de 1 a 2 años en el uso de Power BI, Queries, Data Bricks y Azure
- Habilidad para realizar consultas en bases de datos
- Nivel de inglés deseado (no excluyente)

Condiciones:
- Contrato por Kibernum para una importante empresa
- Proyecto con una duración de 6 a 7 meses
- Modalidad 100% presencial en Las Condes

Beneficios que te esperan:
- Seguro de vida, salud y dental
- Reajustes salariales periódicos
- Acceso a cursos en Udemy y LinkedIn Learning
- Bonos en fiestas patrias, Navidad y más

Si quieres potenciar tu carrera en un entorno desafiante y con tecnologías innovadoras, ¡postula con nosotros!";"Santiago";"2025-03-21 15:34:05";"2025-06-04 (en 72 días)"
"INGENIERO INFORMÁTICO PARA HOSPITAL DE ANTOFAGASTA PRESENCIAL";"1350000";"";"AURINET";"Somos AURINET, importante empresa de selección orientada a la prestación de servicios profesionales en el área de la salud, está en búsqueda de un/a Ingeniero/a en Informática con disponibilidad inmediata para hospital ubicado en Antofagasta.

Requisitos:

Título Profesional de Ingeniero en Informática o carrera a fin de, ocho a diez semestres de duración, otorgada por una Universidad o Instituto Profesional del Estado o reconocido por esté o aquellos validados en Chile de acuerdo con la legislación vigente.

EXPERIENCIA LABORAL

Deseable experiencia laboral en sector público o privado en desarrollo de ficha clínica electrónica de 1 año.

Deseable experiencia laboral en sector público o privado en ERP 3 años.

Deseable experiencia trabajando con marcos de trabajo ágiles como Scrum,

COMPETENCIAS TÉCNICAS
Lenguajes: C#, Visual Basic 6.0, Visual Basic .NET (ASP.NET Framework) Javascript, Typescript (Express, Angular, React, Ionic) HTML5, CSS3
Bases de datos: SQL Server (Entity Framework, Sequelize) MongoDB (Mongoose) MySQL
Librerías: JQuery W2UI MUI Bootstrap Reportabilidad /CMI Crystal Reports Telerik. MS Power BI
Control de versiones GIT BitBucket.

Tipo de puesto: Indefinidio";"Antofagasta";"2025-03-21 11:16:19";"2025-06-04 (en 72 días)"
"ADMINISTRADOR DE SISTEMAS";"None";"-La empresa incluye casino para la alimentación
";"InnovaIT";"¡Estamos buscando un(a) Administrador de Sistemas en Innovait!

¿Tienes experiencia en mantención de sistemas, atención de usuarios y disfrutas solucionando problemas tecnológicos? En Innovait, buscamos un perfil analítico, proactivo y con habilidades para la resolución de incidentes.

¿Cuál será tu misión?

Brindar asistencia técnica: Resolver problemas de hardware, software y redes.
Optimizar el rendimiento y asegurar que los sistemas funcionen de manera eficiente.
Prevenir fallos: Implementar medidas proactivas de mantenimiento y seguridad.

Lo que buscamos en ti:

+5 años de experiencia en roles similares.
Formación técnica o profesional en informática o carreras afines.
Administración de servidores IIS, plataforma 365, servidores DNS.
Administración básica en switch, asignación de subredes, servidores Windows, Linux y VLAN.
Plataforma Wifi Aruba.
Revisión y respaldo de servidores.
Capacidad para trabajar de manera autónoma y enfocada en resultados.

¿Qué ofrecemos?

Trabajo presencial.
Horario:
Lunes a jueves: 8:20 a 17:50 hrs.
Viernes: 8:20 a 16:20 hrs.
Almuerzo en casino de la empresa.
Buses de acercamiento a Baquedano, Maipú (Ciudad Satélite), Los Héroes y Vicente Valdés.

Si te motiva el desafío y quieres ser parte de una empresa innovadora, ¡postula ahora y lleva tu carrera al siguiente nivel!";"Santiago";"2025-03-21 23:59:37";"2025-06-04 (en 72 días)"
"ANALISTA DE SOPORTE";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Holding Degasa";"¿Estas buscando un nuevo desafío? ¡Súmate al equipo!

Nos encontramos buscando un nuevo ANALISTA DE SOPORTE, para nuestro Holding

FUNCIONES
1. Generación de documentación
2. Seguimiento de casos de soporte para sistemas internos
3. Ejecución de tareas para mantenimiento de bases de datos
4. Soporte tercer nivel
5. Pruebas de aplicaciones funcionales

Nuestro candidato ideal:
.- Titulo de Analista programador o campo relacionado.
.- Experiencia previa en soporte técnico de al menos 2 años
.- Disponibilidad de trasladarse entre los puntos de ventas del Holding para prestar soporte técnico.";"Santiago";"2025-03-21 11:43:29";"2025-06-04 (en 72 días)"
"PREVENCIONISTA DE RIESGOS TELECOMUNICACIONES (BILINGUE)";"A convenir";"";"Huntic";"Nos encontramos en la búsqueda de un (una) Prevencionista de Riesgos para uno de nuestros importantes clientes del área de las Telecomunicaciones.

Requisitos:
- Ingeniero de Salud, Seguridad y Medio Ambiente (con Resolución Seremi de Salud y Registro de Ingenieros de EHS).
- Al menos dos años de experiencia en telecomunicaciones
- Conocimiento sobre el proceso de acreditación y certificación en las plataformas de los clientes (Certilap, Nexcel, etc.).
- Conocimientos sobre ISO 45.001 y gestión de documentos de EHS (creación e implementación de MIPER, Seguridad Procedimientos, Protocolos MINSAL, etc).
- Licencia de Conducir clase B
- Disponibilidad para viajes fuera de la Región Metropolitana.
- Nivel de inglés intermedio/avanzado.
- Manejo ofimático nivel intermedio.

Ofrecemos
Contrato indefinido
Plan de Salud/vida/dental
Seguro Complementario
Y otros beneficios a nivel empresa

Si cumples con los requisitos mencionados, ¡te invitamos a postular a este cargo!";"Santiago";"2025-03-21 14:59:17";"2025-06-04 (en 72 días)"
"TÉCNICO SOPORTE DE CAMPO - ARICA";"700000";"-La empresa paga o copaga una cobertura de salud adicional.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"ACT S.A.";"¡Empresa de tecnología busca Técnico Soporte de Campo para unirse a su equipo!

Si tienes habilidades en reparación y mantención de equipos tecnológicos ¡postula con nosotros! buscamos un Técnico de Soporte en Terreno para brindar asistencia a nuestros clientes en la zona. La persona seleccionada será responsable, entre otras cosas, de gestionar peticiones, solucionar incidencias, ejecutar los requerimientos solicitados por su jefatura; reparar, configura y/o realizar mantención de impresoras y computadores en terreno.

Principales funciones:
1. Reparar, configurar y realizar mantención de impresoras y computadores.
2. Brindar soporte técnico en terreno y/o remoto a los clientes de la zona.
3. Entregar el conocimiento necesario a través de inducciones o capacitaciones al usuario, con el fin de disminuir la cantidad de errores operacionales asociado a esta categoría.
4. Diagnosticar errores y fallas del equipamiento tecnológico en contrato, con el fin de extender su ciclo operacional.
5. Reparar equipamiento tecnológico preferentemente en terreno o en laboratorio.
6. Implementar equipos de BackUp para la continuidad operativa de los contratos asociados al área.

Requisitos:
1. Enseñanza media completa. Idealmente Técnico nivel medio o superior en área de computación e informática.
2. Poseer al menos, 2 años de experiencia laboral como técnico en terreno.
3. Poseer dominio o certificaciones de impresoras marca Lexmark, HP, Kyocera, Brother o Epson.
4. Poseer dominio y conocimiento de computadores marca Lenovo y DELL.
5. Contar con Licencia de Conducir Clase B.


¿Qué ofrecemos?
1. Contrato: plazo fijo, con posibilidad de pasar a indefinido luego de evaluación de desempeño.
2. Modalidad: Presencial en la comuna de Arica.
3. Jornada laboral: 44 horas semanales, con 1 hora de colación.
4. Horario: Lunes a jueves de 8:00 a 18:00 horas; y viernes de 8:00 a 17:00 horas.
5. Sueldo: $700.000 líquidos.
6. Beneficios Corporativos.

Si cumples con los requisitos y te interesa formar parte de nuestro equipo, ¡postula con nosotros!";"Arica";"2025-03-21 18:23:01";"2025-06-04 (en 72 días)"
"DESARROLLADOR FULLSTACK ANGULAR .NETCORE";"None";"-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"Perceptual Consultora Ltda";"Estamos en búsqueda, de Desarrollador FullStack, con experiencia en .NET CORE, ANGULAR y JAVASCRIPT, para empresa proveedora de sistemas de monitoreo.

¿Qué funciones realizarás?

-Desarrollo y diseño de app web en .NET Core (Backend) y Angular (Frontend).
-Crear interfaces responsivas y dinámicas. -Gestión y optimización de BBDD SQL Server (querys complejas, procedimientos almacenados, Join)
-Microservicios y APIs REST.
-Implementar y gestionar CI/CD pipelines para un despliegue eficiente.
-Gestión de infraestructura en contenedores usando Docker y Azure DevOps.
-Aplicar metodología Scrum.

Condiciones:

-Contrato: 3 meses plazo fijo, luego indefinido
-Ubicación: Ñuñoa Modalidad: Hibrida, remoto/presencial (mayormente remoto)
-Horario: lunes a jueves de 9:00 a 18:30 hrs. (con 1 hora de colación) y los viernes de 9:00 a 14:00 hrs. (sin colación)

¡Si ingresas tendrás estos beneficios!

-6 días administrativos al año.
-El día de tu cumpleaños libre.
-Seguro complementario de salud para ti y tus cargas legales.
-Bono por nacimiento de hijo/a.
-Extensión postnatal parental.
-Jornada laboral de 39HH a la semana.
-Modalidad Hibrida (mayoritariamente teletrabajo).
-En la oficina sin código de vestimenta.

Requisitos mínimos:

-Titulado en Ingeniería en informática o similar. Con al menos 3 años de experiencia laboral en funciones del -cargo.
-Sólidos conocimientos en Javascript - .Net Core y Angular (Descartable).
-SQL Server.
-Entity Framework – Typescript - CSS 3 - Bootstrap 4 – Jquery – Ajax - Json.
-Microservicios y API REST.
-GIT (gitflow) - Metodologías Agiles (Scrum).

Deseables:
-MQTT - IoT.
-Linux.
-MongoDB.
-InfluxDB.
-CosmosDB.
-Azure Devops – Docker - AAD B2C - CI/CD.";"Santiago";"2025-03-21 11:59:44";"2025-06-04 (en 72 días)"
"SOFTWARE ENGINEER - FULL STACK";"None";"";"Emat";"EMAT - Líder en Energía Solar en Chile

En EMAT somos el primer y más completo One Stop Shop de energía solar en Chile, por ello ofrecemos en un solo lugar todos los elementos necesarios para realizar una instalación fotovoltaica ya sea Residencial, C&I o PMGD.Principales.
Buscamos crear un Order Management System (OMS) que nos permitirá automatizar la gestión de pedidos, integrándose con nuestro ERP (SAP B1) y WMS (Invas).

Buscamos un desarrollador Full Stack con experiencia en desarrollo de software,
integración de APIs y optimización de bases de datos.

Requisitos Técnicos:
• Frontend: React.js / Vue.js / Angular (Sin preferencias)
• Backend: Node.js (Express) / Django / FastAPI (Sin preferencias)
• Base de Datos: PostgreSQL / MySQL (preferible PostgreSQL)
• Integraciones: APIs REST / SOAP, conexión con sistemas ERP (SAP B1), WMS (Invas)
• Infraestructura: AWS/DigitalOcean

Responsabilidades:
• Desarrollar y mantener la integración entre el sistema ERP y el WMS para garantizar que la información de inventario, pedidos y procesos logísticos se sincronice correctamente.
• Crear interfaces de comunicación (APIs, servicios web, etc.) entre el ERP (como SAP) y otros sistemas internos o externos para la transferencia de datos en tiempo real.
• Optimizar el rendimiento de los sistemas ERP y WMS: Asegurarse de que los sistemas ERP y WMS sean eficientes y operen sin problemas, incluyendo la optimización de consultas a bases de datos, tiempos de respuesta de las aplicaciones y procesos de integración.
• Gestionar y desarrollar un software desde 0

¿Qué buscamos?
• Ingeniero en Informática, Ingeniero en Software o carrera a fin
• Mínimo 3 años de experiencia en cargos similares.
¿Qué ofrecemos?
• La oportunidad de ser parte de un equipo innovador en una empresa pionera en el sector de las energías renovables.
• Entorno dinámico y en constante crecimiento con posibilidades de aprendizaje en múltiples áreas del negocio.
• Contrato a plazo fijo por 3 meses, con posibilidades de continuidad según evaluación.
• CCAF
• Día de cumpleaños libre

Únete a nuestro equipo y sé parte de la transformación digital en la industria solar. En EMAT, buscamos talento que impulse la innovación y optimización de nuestros procesos. Si eres un desarrollador Full Stack apasionado por la tecnología y la automatización, queremos conocerte.";"Santiago";"2025-03-21 11:02:17";"2025-06-04 (en 72 días)"
"DESARROLLADOR FULLSTACK SENIOR MODALIDAD HIBRIDA";"None";"";"Valor único";"Importante empresa solicita Desarrollador Fullstack Senior en modalidad Hibrida en la comuna de Las Condes, para un proyecto de 6 meses (inicialmente).

Requisitos:
FrontEnd
- Desarrollador con al menos 5 experiencia reciente en Angular (16 o superior)
- Manejo avanzado de componentes, directivas, servicios, routing y comunicaciones http
- Manejo de observables y reactive forms. Lazy loading
- Conocimientos sobre cómo exportar componentes desde librerías propias desde Angular
- Conocimientos de HTML, CSS y GIT
BackEnd
- Experiencia en desarrollo con al menos 5 años en Java con SpringBoot o NodeJS.
- Desarrollo de APIs Rest
- Conocimientos aplicados en performance de microservicios y herramientas de profiling.
- Experiencia con Docker y Kubernetes
- Conocimientos y experiencia en algunas de las siguientes BBDD PostgreSQL, Redis, MySQL y MongoDB.

Generales:
- Conocimientos en Patrones de Diseño de Software y Arquitecturas basada en microservicios.
- Experiencia desarrollando pruebas unitarias
- Nivel de inglés técnico.
- Experiencia trabajando en equipos utilizando metodologías ágiles.
- Buen trabajo en equipo, comunicación y colaboración

Conocimientos Deseables pero no imprescindibles:

- Experiencia con Nube GCP (de preferencia), aunque se valoran conocimientos aplicados en otras nubes.
- Desarrollo en lenguaje Go.
- Automatización de pruebas funcionales con Playwright o Selenium
- Conocimientos en GraphQL.";"Santiago";"2025-03-21 17:07:21";"2025-06-04 (en 72 días)"
"REACT NATIVE DEVELOPER (+4 YEARS OF EXPERIENCE)";"None";"-Ten libertad para hacer tus trámites, el horario de entrada y salida es flexible.
-Utiliza lo que desees, sin dresscode.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
";"Fulltimeforce";"Fulltimeforce keeps growing, and now we are looking for a React Native Developer (+4 years of experience) to join our team

Requirements:
- Advanced experience with React Native and Typescript
- Desirable experience working with Expo, Styled-components and React-Native-Reanimated
- Conversational English (writing, listening and speaking)
- Passion for the IT world and willingness for teamwork

Specific responsibilities:
- Write clean, concise, and maintainable code that adjusts to the scalability and performance needs of the project.
- Collaborate on the development and maintenance of new features within the assigned project.
- Coordinate with the team on product requirements and workload distribution. Occasionally, direct coordination with the client may be required.
- Provide updates on task progress using appropriate communication channels.
- Perform other tasks and responsibilities that contribute to the successful development and delivery of the project.

What do we offer?
Develop your potential in challenging projects, excellent work environment, 100% remote work, flexible hours and attractive salaries in line with the IT market";"Santiago";"2025-03-21 18:53:51";"2025-06-04 (en 72 días)"
"EJECUTIVO COMERCIAL VENTA DE EXAMENES PREOCUPACIONALES - CONTRATO INDEFINIDO";"None";"";"Perceptual Consultores Ltda.";"Estamos en búsqueda de Captador de nuevos clientes, para integrarse al equipo comercial de empresa nacional de productos y servicios del área de Salud Ocupacional.

Descripción:
Objetivo: Atraer nuevos clientes y negocios.

¿Cuáles serán tus funciones?

-Sus funciones inician con un proceso de aprendizaje para comercializar y vender los productos y servicios de la empresa.
-Prospección en frío de nuevos clientes.
-Venta consultiva, según necesidades de cada cliente.
-Comercializar y vender los productos y servicios de la empresa
-Dar cumplimiento a los procesos comerciales, protocolos de atención y registro de gestión comercial en el CRM (Salesforce).
-Cumplimiento de los objetivos de facturación por venta propia y de gestión en relación a la prospección de nuevos clientes.


Requisitos:
Requisitos:
-Experiencia deseada de al menos un año en áreas de captación de clientes y/o ventas.
-Experiencia prospección en frío.
-Persona persuasiva y de buena dicción.
-Persona ambiciosa, con orientación al cliente y al logro de objetivos
-Usuaria de PC y Microsoft office

Otros:
Condiciones:
Lugar: Providencia PRESENCIAL
Horario: Lunes a viernes
Contrato: Plazo fijo, luego indefinido.
Renta base $700.000 + % comisión por 1ª venta de nuevos clientes (Renta promedio de $900.000)";"Santiago";"2025-03-21 09:17:22";"2025-06-04 (en 72 días)"
"REACT NATIVE DEVELOPER";"None";"-Ten libertad para hacer tus trámites, el horario de entrada y salida es flexible.
-Utiliza lo que desees, sin dresscode.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
";"Fulltimeforce";"En FULLTIMEFORCE seguimos creciendo y esta vez nos encontramos en la búsqueda de un/a React Native Developer (+3 años de experiencia) que pueda unirse a nuestro equipo

Requerimientos:
- Experiencia avanzada con React Native y Typescript
- Deseable experiencia trabajando con Expo, Styled-components y React-Native-Reanimated
- Nivel de inglés intermedio (escritura, escucha y oral)
- Pasión por el mundo IT y capacidad de autogestión

Funciones específicas:
- Redactar código limpio, conciso y fácil de mantener que se ajuste a las necesidades de escalabilidad y rendimiento del proyecto.
- Colaborar en el desarrollo y mantenimiento de nuevas funcionalidades dentro del proyecto asignado.
- Proporcionar actualizaciones sobre el progreso de las tareas utilizando los canales de comunicación adecuados.
- Realizar otras tareas y responsabilidades que contribuyan al desarrollo y la entrega exitosos del proyecto.

¿Qué ofrecemos?
Genial ambiente laboral, oportunidad de aprendizaje, modalidad 100% remota, flexibilidad horaria y salarios atractivos acorde al mercado IT.";"Santiago";"2025-03-21 18:54:52";"2025-06-04 (en 72 días)"
"SOPORTE TÉCNICO EN INFORMÁTICA N1 - SAN BERNARDO";"None";"";"Importante Empresa del sector sur de San Bernardo";"Importante empresa del sector sur de la Región Metropolitana se encuentra en busca de Soporte Técnico en Informática, quien estará a cargo de velar por el correcto funcionamiento de los sistemas informáticos de la organización.

Responsabilidades del cargo:
Atención al Cliente
Mantenimiento de Software y Hardware
Conocimiento en redes
Conocimientos en Servidores
Administración y control de inventario de equipos
Diagnóstico y resolución de problemas
Gestión de proveedores

Se requiere:
Estudios Técnicos en Informática, ingeniería en Informática, o Afín; deseable contar con especializaciones.
Experiencia de al menos 10 años en informática y 5 de ellos liderando equipos de trabajo y proyectos.
Compromiso, orientación a objetivos, servicio al cliente interno, empatía, otras.";"Santiago";"2025-03-21 04:26:29";"2025-06-04 (en 72 días)"
"ASISTENTE DE DESARROLLO Y MANTENCIÓN DE APLICACIONES - RPA";"None";"";"PricewaterhouseCoopers Ltda";"DESCRIPCIÓN DEL PUESTO

¡Te estamos buscando!

En PwC Chile nos encontramos en búsqueda de Asistente de Desarrollo y Mantención de Aplicaciones para formar parte de un equipo especializado en el analisis de datos mediante una líbrería de navegación automatizada para desarrollar y dar soporte a procesos de automatización basados en el lenguaje de programación Python.

En PwC Chile reconocemos que la diversidad de nuestros colaboradores potencia la creativididad y comprendemos el abanico de capacidad, edades, culturas y formas de actuar de todos quienes forman parte de la familia PwC, de la cual queremos que te sientas parte. Por ello, todas nuestras vacantes están bajo la Ley de Inclusión 21.015, así que si buscar un lugar donde tu voz cuente ¡Te invitamos a postular y unirte a nuestro equipo!



Estamos buscando profesionales recién egresados del área informática con experiencia trabajando con lenguaje Python.

Quien forme parte del proceso realizará; analisis de datosSerá responsable del desarrollo de software, usando herramientas con lenguaje de programación. Deberá contar con disponibilidad para trabajar de forma híbrida en Santiago.

REQUISITOS

Es importante que sepas lo que buscamos:
Ser titulado de carreras del área informática; Ingeniería Informática, Desarrollador Web, Analista Programador, Ingeniería en Computación. Tener interés por el desarrollo y análisis de datos. Tener conocimientos en desarrollo de scripts en lenguaje Python Manejo de librerías comunes de automatización (e.g., Selenium, pandas). Experiencia en diseño de diagramas de procesos (e.g., UML, BPMN). Conocimiento básico en gestión de bases de datos (deseable). Contar con disponibilidad inmediata para trabajar de forma híbrida en St
BENEFICIOS

¿Qué te ofrecemos?
Oportunidades de crecimiento: Participa en proyectos desafiantes y adquiere nuevas habilidades. Desarrollo profesional: Acceso a programas de capacitación y certificación. Ambiente de trabajo colaborativo: Forma parte de un equipo dinámico y apasionado por la tecnología.
Si quieres ser parte del cambio, ven a vivir nuestra Cultura:
Be Well Work Well, programa de bienestar que incluye diversos convenios y actividades. Cultura de trabajo orientada en Diversidad e Inclusión. Compromiso Net Zero 2030, buscamos reducir el 50% de las emisiones de CO2 que generamos.";"Santiago";"2025-03-21 19:00:22";"2025-06-04 (en 72 días)"
"ASISTENTE DE FLOTA";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Confidencial";"Importante empresa multinacional está en búsqueda de un Asistente de Flota

La posición consiste en efectuar el registro, actualización y monitoreo del Sistema Informático de Gestión (Railsys) del área de Mantenimiento de la empresa, de modo de asegurar el cumplimiento de los estándares QCD (Calidad, Costo y Tiempo) y FMD (Fiabilidad, Mantenibilidad y Disponibilidad) establecidos y contribuir al logro de la disponibilidad operativa y comercial de los trenes.

Los requisistos a nivel académico son :

- Técnico nivel medio mecánico, eléctricos o área informatica (no se requiere nivel de ingeniería o técnico nivel superior).
- Se valora conocimientos avanzados en SAP
- 3 años de experiencia laboral.


Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral.";"Santiago";"2025-03-21 11:09:05";"2025-06-04 (en 72 días)"
